Catégorie : Toutes catégories

Mois,data science: (États-Unis)
2004-01,20
2004-02,11
2004-03,14
2004-04,0
2004-05,7
2004-06,10
2004-07,18
2004-08,5
2004-09,11
2004-10,9
2004-11,19
2004-12,10
2005-01,11
2005-02,8
2005-03,2
2005-04,7
2005-05,3
2005-06,3
2005-07,5
2005-08,19
2005-09,10
2005-10,4
2005-11,1
2005-12,9
2006-01,8
2006-02,4
2006-03,9
2006-04,13
2006-05,8
2006-06,9
2006-07,3
2006-08,2
2006-09,13
2006-10,9
2006-11,8
2006-12,4
2007-01,10
2007-02,8
2007-03,6
2007-04,7
2007-05,4
2007-06,11
2007-07,4
2007-08,8
2007-09,14
2007-10,12
2007-11,5
2007-12,5
2008-01,10
2008-02,13
2008-03,10
2008-04,7
2008-05,7
2008-06,7
2008-07,3
2008-08,9
2008-09,9
2008-10,10
2008-11,9
2008-12,3
2009-01,10
2009-02,9
2009-03,11
2009-04,4
2009-05,6
2009-06,9
2009-07,8
2009-08,6
2009-09,10
2009-10,8
2009-11,4
2009-12,10
2010-01,11
2010-02,3
2010-03,8
2010-04,6
2010-05,6
2010-06,5
2010-07,4
2010-08,5
2010-09,10
2010-10,7
2010-11,10
2010-12,5
2011-01,9
2011-02,9
2011-03,8
2011-04,7
2011-05,6
2011-06,7
2011-07,6
2011-08,8
2011-09,12
2011-10,8
2011-11,9
2011-12,6
2012-01,10
2012-02,8
2012-03,10
2012-04,10
2012-05,5
2012-06,7
2012-07,7
2012-08,10
2012-09,15
2012-10,11
2012-11,13
2012-12,10
2013-01,13
2013-02,11
2013-03,12
2013-04,17
2013-05,13
2013-06,9
2013-07,10
2013-08,14
2013-09,20
2013-10,16
2013-11,16
2013-12,17
2014-01,17
2014-02,18
2014-03,19
2014-04,19
2014-05,21
2014-06,19
2014-07,18
2014-08,27
2014-09,33
2014-10,32
2014-11,22
2014-12,20
2015-01,30
2015-02,31
2015-03,30
2015-04,34
2015-05,35
2015-06,27
2015-07,32
2015-08,31
2015-09,51
2015-10,41
2015-11,33
2015-12,32
2016-01,40
2016-02,39
2016-03,42
2016-04,38
2016-05,39
2016-06,36
2016-07,33
2016-08,44
2016-09,49
2016-10,43
2016-11,45
2016-12,44
2017-01,57
2017-02,57
2017-03,61
2017-04,57
2017-05,54
2017-06,48
2017-07,50
2017-08,62
2017-09,64
2017-10,72
2017-11,67
2017-12,51
2018-01,69
2018-02,69
2018-03,75
2018-04,75
2018-05,66
2018-06,66
2018-07,62
2018-08,77
2018-09,83
2018-10,81
2018-11,75
2018-12,69
2019-01,80
2019-02,88
2019-03,80
2019-04,86
2019-05,78
2019-06,80
2019-07,72
2019-08,86
2019-09,99
2019-10,96
2019-11,82
2019-12,77
2020-01,94
2020-02,88
2020-03,70
2020-04,81
2020-05,80
2020-06,82
2020-07,83
2020-08,91
2020-09,100
2020-10,78
2020-11,66
2020-12,61
2021-01,66
2021-02,65
2021-03,68
2021-04,71
2021-05,65
2021-06,67
2021-07,65
2021-08,71
2021-09,84
2021-10,84
2021-11,72
2021-12,66
2022-01,78
